,RPM,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,10500,11000,11500,12000,12500
20,Real Torque,10.06666667,11.06666667,9.833333333,12.16666667,11.73333333,11.76666667,8.6,5.633333333,4.6,4.3,4.166666667,2.833333333,1.666666667,,,,,,,,,
30,Real Torque,13.03333333,15.76666667,14.33333333,18.96666667,21.43333333,20.76666667,18.06666667,16.46666667,16.73333333,17.53333333,16.96666667,15.83333333,14.5,13.43333333,12.56666667,11.33333333,10.1,8.233333333,7.033333333,6.166666667,4.666666667,3.633333333
40,Real Torque,14.16666667,16.1,15,20.9,25.06666667,25.1,22.56666667,21.16666667,23.26666667,25.46666667,25.56666667,23.83333333,23,23.23333333,23.43333333,22.9,21.56666667,20.06666667,18.43333333,17.23333333,15.93333333,13.35333333
50,Real Torque,13.76666667,17.1,15.76666667,22.16666667,26.63333333,27,25.43333333,23.86666667,27.1,29.46666667,30.16666667,28.26666667,27.73333333,29.23333333,31.43333333,32.16666667,30.9,29.36666667,27.76666667,26.76666667,24.93333333,21.78
60,Real Torque,14.36666667,18.53333333,16.83333333,23.3,27.93333333,28.5,27.06666667,25.5,29.23333333,31.7,32.86666667,31.16666667,30.8,33.3,36.06666667,38.36666667,37.06666667,35.66666667,34.13333333,32.9,30.86666667,27.91666667
70,Real Torque,14.1,17.63333333,16.13333333,22.7,27.46666667,28.1,26.76666667,25.36666667,29.16666667,31.73333333,33.03333333,31.23333333,31,33.7,36.86666667,39.83333333,38.8,37.56666667,36.06666667,34.7,32.5,29.44333333
80,Real Torque,14.2,17.4,16.4,22.73333333,27.33333333,27.93333333,26.63333333,25.23333333,29.03333333,31.5,32.8,31.1,30.86666667,33.6,36.73333333,39.93333333,38.96666667,37.86666667,36.26666667,34.96666667,32.6,29.60666667
90,Real Torque,14.8,17.86666667,16.86666667,23.36666667,28.06666667,28.66666667,27.2,25.86666667,29.8,32.36666667,33.6,31.93333333,31.93333333,34.73333333,38.13333333,41.33333333,40.03333333,38.96666667,37.5,35.6,33.26666667,30.35666667
100,Real Torque,14.13333333,19.36666667,15.93333333,22.7,28.13333333,28.83333333,27.4,25.83333333,29.86666667,32.66666667,33.83333333,32.2,32.13333333,34.9,38.1,41.13333333,40,39.03333333,37.5,35.63333333,33.43333333,30.02
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,original,,,,,,,,,,,,,,,,,
,33.83333333,20,12.31527094,12.31527094,12.31527094,4.926108376,,,,,,,,,,,,,,,,,
,,30,50.14778327,23.27586207,16,42.85714286,,,,,,,,,,,,,,,,,
,,40,75.56650248,34.2364532,25,67.98029557,,,,,,,,,,,,,,,,,
,,50,89.16256159,45.19704434,39.5,81.97044335,,,,,,,,,,,,,,,,,
,,60,97.14285716,56.15763547,56.15,91.03448277,,,,,,,,,,,,,,,,,
,,70,97.63546798,67.1182266,73.5,91.62561577,,,,,,,,,,,,,,,,,
,,80,98,78.07881773,87,91.23152711,,,,,,,,,,,,,,,,,
,,90,99.31034484,89.03940887,95.5,94.38423645,,,,,,,,,,,,,,,,,
,,100,100,100,100,94.97536946,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,10.96059113,,,,,,,,,,,,,,,,,,,
