,APPS\RPM,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,10500,11000,11500,12000,12500
0,0,0,0,0,2.107843132,7.903780072,6.925925922,10.91549296,14.8,16.20879121,16.75062972,16.74479167,17.82051282,18.7012987,19.69309463,20,20,20,20,20,20,20,20
1,4,0,0,0,3.482352936,9.061168388,8.199999996,12.06478874,15.75507692,17.19120879,17.72896725,17.79479167,18.80307692,19.69662338,20.75907928,21.2137931,21.45882353,21.58547855,21.89311741,22.13270142,22.30918919,22.85142857,23.34201835
2,5,0,0,0.02222221,3.825980387,9.350515468,8.518518515,12.35211268,15.99384616,17.43681319,17.97355164,18.05729167,19.04871795,19.94545455,21.02557545,21.51724138,21.82352941,21.98184818,22.36639676,22.66587678,22.88648649,23.56428571,24.17752294
3,6,0,0,0.397037025,4.169607839,9.639862547,8.837037034,12.63943662,16.23261539,17.68241758,18.21813602,18.31979167,19.29435897,20.19428571,21.29207161,21.82068965,22.18823529,22.37821782,22.83967611,23.19905213,23.46378378,24.27714286,25.01302752
4,8,0,0,1.146666655,4.856862741,10.2185567,9.474074071,13.21408451,16.71015385,18.17362637,18.70730479,18.84479167,19.78564103,20.69194805,21.82506394,22.42758621,22.91764706,23.1709571,23.78623482,24.26540284,24.61837838,25.70285714,26.6840367
5,11,0,0.791619483,2.271111101,5.887745094,11.08659794,10.42962963,14.07605634,17.42646154,18.91043956,19.44105793,19.63229167,20.5225641,21.43844156,22.62455243,23.33793103,24.01176471,24.36006601,25.20607288,25.86492891,26.35027027,27.84142857,29.19055046
6,15,0,2.368971767,3.770370361,7.262254898,12.24398626,11.7037037,15.22535211,18.38153846,19.89285714,20.41939547,20.68229167,21.50512821,22.43376623,23.69053708,24.55172414,25.47058824,25.94554455,27.09919028,27.99763033,28.65945946,30.28698225,30.94667353
7,25,0,6.312352476,7.518518513,10.69852941,15.13745705,14.88888889,18.09859155,20.76923077,22.3489011,22.8652393,23.30729167,23.96153846,24.92207792,26.35549872,27.58620689,29.11764706,29.90924092,31.27464789,32.05409357,32.46987952,33.23964497,34.06978738
8,45,8.516853896,14.1991139,15.01481482,17.57107843,20.92439863,21.25925926,23.84507042,25.54461538,27.26098901,27.75692696,28.55729166,28.87435898,29.8987013,32.2414966,34.22699386,36.28242075,36.90261628,37.86056338,38.63304094,38.90361446,39.14497042,40.36451741
9,60,15.99999998,20.11418496,20.63703704,22.72549019,25.26460482,26.03703704,28.15492957,29.12615385,31.75510204,32.37815127,33.71317829,34.15833334,35.48235294,37.55782313,39.49079755,42.05035971,42.62857142,43.56272401,44.35714286,44.32867133,44.47407408,45.76819621
10,70,20.98876404,24.05756567,24.38518519,26.1617647,28.15807561,29.22222222,32.16296296,33.4893617,36.31632653,36.45798319,37.62015503,38.15,39.23921568,41.8,44.075,46.51079136,46.91785714,47.75268817,48.375,48.06293706,48.17037038,49.37064874
11,80,25.97752809,28.00094638,28.13333335,29.59803921,32.80733946,35,38.2074074,38.9929078,41.49565217,41.06666667,42.85507246,43.86466165,45.38028169,47.58888889,48.84166667,51.45161289,51.82702702,52.86772487,53.5078534,52.79347826,52.83146068,54.08256383
12,90,32.52941178,45.80500402,42.34782612,41.02631581,41.23404256,43.68421054,46.67441861,47.82716049,49.26956522,49.15833333,50.27160493,51.63218389,53.28260869,54.98360655,56.23021582,58.11827956,58.31891891,59.05291005,59.39790576,58.59782609,58.43820225,59.02933188
